index,Malicious,Pred
2375,0.0,0.0
1746,1.0,1.0
2768,1.0,1.0
3186,1.0,0.0
2412,0.0,1.0
1278,1.0,1.0
867,1.0,0.0
926,0.0,1.0
2407,1.0,1.0
997,0.0,1.0
3381,1.0,1.0
3257,1.0,1.0
1132,0.0,0.0
2034,0.0,1.0
2678,1.0,1.0
210,1.0,1.0
1735,1.0,1.0
59,1.0,1.0
1784,1.0,1.0
2753,1.0,1.0
3963,1.0,1.0
3683,0.0,1.0
765,1.0,1.0
4052,1.0,1.0
1272,1.0,1.0
1078,1.0,1.0
3278,1.0,1.0
1539,1.0,1.0
3853,1.0,1.0
2098,1.0,1.0
582,0.0,0.0
1948,0.0,1.0
2157,1.0,1.0
1233,1.0,1.0
940,1.0,0.0
